Passenger Arrivals by Nationality,Gender,Total Passenger Arrivals by Nationality,Year
Sweden,Female,4753,2013
Sweden,Male,5857,2013
Switzerland,Female,13070,2013
Switzerland,Male,13425,2013
Ukraine,Female,2186,2013
Ukraine,Male,2262,2013
Other Europe,Female,661,2013
Other Europe,Male,661,2013
Asia,Female,2426,2013
Asia,Male,6743,2013
South Korea,Female,413,2013
South Korea,Male,1042,2013
China,Female,293,2013
China,Male,912,2013
India,Female,142,2013
India,Male,747,2013
Israel,Female,278,2013
Israel,Male,945,2013
Japan,Female,568,2013
Japan,Male,1075,2013
Taiwan,Female,200,2013
Taiwan,Male,670,2013
Other Asia,Female,532,2013
Other Asia,Male,1352,2013
Rest of the World,Female,1008,2013
Rest of the World,Male,1498,2013
Australia,Female,684,2013
Australia,Male,901,2013
Other Rest of the World,Female,324,2013
Other Rest of the World,Male,597,2013
Resident Dominicans,Female,227615,2014
Resident Dominicans,Male,233342,2014
Resident Foreigners,Female,19425,2014
Resident Foreigners,Male,26984,2014
Non-Resident Dominicans,Female,349300,2014
Non-Resident Dominicans,Male,327434,2014
Non-Resident Foreigners,Female,2242568,2014
Non-Resident Foreigners,Male,2222075,2014
North America,Female,1297419,2014
North America,Male,1275990,2014
Canada,Female,369157,2014
Canada,Male,343088,2014
United States,Female,915271,2014
United States,Male,914184,2014
Mexico,Female,12991,2014
Mexico,Male,18718,2014
Central America and Caribbean,Female,88646,2014
Central America and Caribbean,Male,118386,2014
Aruba,Female,519,2014
Aruba,Male,784,2014
Turks and Caicos Islands,Female,451,2014
Turks and Caicos Islands,Male,890,2014
Costa Rica,Female,5019,2014
Costa Rica,Male,6411,2014
Cuba,Female,4343,2014
Cuba,Male,5490,2014
Curacao,Female,1695,2014
Curacao,Male,2641,2014
El Salvador,Female,1498,2014
El Salvador,Male,2122,2014
Guadeloupe,Female,2271,2014
Guadeloupe,Male,3335,2014
Guatemala,Female,2652,2014
Guatemala,Male,4429,2014
Haiti,Female,1929,2014
Haiti,Male,5311,2014
Honduras,Female,1163,2014
Honduras,Male,1329,2014
Jamaica,Female,471,2014
Jamaica,Male,769,2014
Martinique,Female,980,2014
Martinique,Male,1812,2014
Panama,Female,5096,2014
Panama,Male,8123,2014
Puerto Rico,Female,55723,2014
Puerto Rico,Male,68350,2014
Saint Martin,Female,1380,2014
Saint Martin,Male,1714,2014
Trinidad and Tobago,Female,1281,2014
Trinidad and Tobago,Male,1310,2014
U.S. Virgin Islands,Female,199,2014
U.S. Virgin Islands,Male,423,2014
Other Caribbean,Female,1976,2014
Other Caribbean,Male,3143,2014
South America,Female,277381,2014
South America,Male,257911,2014
Argentina,Female,59398,2014
Argentina,Male,51382,2014
Bolivia,Female,5139,2014
Bolivia,Male,4625,2014
Brazil,Female,58658,2014
Brazil,Male,53943,2014
Colombia,Female,28641,2014
Colombia,Male,29319,2014
Chile,Female,44221,2014
Chile,Male,37863,2014
Ecuador,Female,4801,2014
Ecuador,Male,5333,2014
Peru,Female,16843,2014
Peru,Male,16070,2014
Uruguay,Female,2617,2014
Uruguay,Male,2721,2014
Venezuela,Female,54296,2014
Venezuela,Male,54080,2014
Other South America,Female,2767,2014
Other South America,Male,2575,2014
Europe,Female,575547,2014
Europe,Male,562647,2014
Germany,Female,115665,2014
Germany,Male,114653,2014
Austria,Female,4469,2014
Austria,Male,4941,2014
Belgium,Female,20097,2014
Belgium,Male,16662,2014
Bulgaria,Female,287,2014
Bulgaria,Male,314,2014
Denmark,Female,1640,2014
Denmark,Male,1789,2014
Scotland,Female,85,2014
Scotland,Male,85,2014
Spain,Female,70131,2014
Spain,Male,76667,2014
Finland,Female,1947,2014
Finland,Male,1837,2014
France,Female,116674,2014
France,Male,102402,2014
Greece,Female,125,2014
Greece,Male,233,2014
Netherlands,Female,12889,2014
Netherlands,Male,12803,2014
Hungary,Female,573,2014
Hungary,Male,511,2014
United Kingdom,Female,66363,2014
United Kingdom,Male,58120,2014
Ireland,Female,297,2014
Ireland,Male,378,2014
Italy,Female,33898,2014
Italy,Male,42517,2014
Luxembourg,Female,288,2014
Luxembourg,Male,261,2014
Norway,Female,1095,2014
Norway,Male,1338,2014
Poland,Female,4635,2014
Poland,Male,4924,2014
Portugal,Female,9175,2014
Portugal,Male,7598,2014
Czech Republic,Female,2517,2014
Czech Republic,Male,2470,2014
Romania,Female,247,2014
Romania,Male,211,2014
Russia,Female,87691,2014
Russia,Male,88091,2014
Sweden,Female,6499,2014
Sweden,Male,7180,2014
Switzerland,Female,13631,2014
Switzerland,Male,12093,2014
Ukraine,Female,3736,2014
Ukraine,Male,3578,2014
Other Europe,Female,893,2014
Other Europe,Male,991,2014
Asia,Female,2516,2014
Asia,Male,5499,2014
South Korea,Female,270,2014
South Korea,Male,679,2014
China,Female,446,2014
China,Male,966,2014
India,Female,141,2014
India,Male,527,2014
Israel,Female,255,2014
Israel,Male,668,2014
Japan,Female,683,2014
Japan,Male,877,2014
Taiwan,Female,185,2014
Taiwan,Male,546,2014
Other Asia,Female,536,2014
Other Asia,Male,1236,2014
Rest of the World,Female,1059,2014
Rest of the World,Male,1642,2014
Australia,Female,738,2014
Australia,Male,1131,2014
Other Rest of the World,Female,321,2014
Other Rest of the World,Male,511,2014
Resident Dominicans,Female,258365,2015
Resident Dominicans,Male,253425,2015
Resident Foreigners,Female,16054,2015
Resident Foreigners,Male,23300,2015
Non-Resident Dominicans,Female,405984,2015
Non-Resident Dominicans,Male,360919,2015
Non-Resident Foreigners,Female,2399460,2015
Non-Resident Foreigners,Male,2433496,2015
North America,Female,1417105,2015
North America,Male,1412772,2015
Canada,Female,383275,2015
Canada,Male,367623,2015
United States,Female,1020974,2015
United States,Male,1027788,2015
Mexico,Female,12856,2015
Mexico,Male,17361,2015
Central America and Caribbean,Female,95607,2015
Central America and Caribbean,Male,125245,2015
Aruba,Female,754,2015
Aruba,Male,992,2015
Turks and Caicos Islands,Female,563,2015
Turks and Caicos Islands,Male,1070,2015
Costa Rica,Female,5935,2015
Costa Rica,Male,6946,2015
Cuba,Female,7312,2015
Cuba,Male,8424,2015
Curacao,Female,2005,2015
Curacao,Male,3183,2015
El Salvador,Female,1485,2015
El Salvador,Male,1905,2015
Guadeloupe,Female,1795,2015
Guadeloupe,Male,2234,2015
Guatemala,Female,2585,2015
Guatemala,Male,4175,2015
Haiti,Female,1666,2015
Haiti,Male,8912,2015
Honduras,Female,956,2015
Honduras,Male,1169,2015
Jamaica,Female,483,2015
Jamaica,Male,725,2015
Martinique,Female,657,2015
Martinique,Male,1111,2015
Panama,Female,7316,2015
Panama,Male,10022,2015
Puerto Rico,Female,57166,2015
Puerto Rico,Male,67479,2015
Saint Martin,Female,1678,2015
Saint Martin,Male,2232,2015
Trinidad and Tobago,Female,1001,2015
Trinidad and Tobago,Male,1216,2015
U.S. Virgin Islands,Female,241,2015
U.S. Virgin Islands,Male,462,2015
Other Caribbean,Female,2009,2015
Other Caribbean,Male,2988,2015
South America,Female,341512,2015
South America,Male,329510,2015
Argentina,Female,67953,2015
Argentina,Male,62849,2015
Bolivia,Female,5264,2015
Bolivia,Male,5829,2015
Brazil,Female,69784,2015
Brazil,Male,69410,2015
Colombia,Female,36636,2015
Colombia,Male,37335,2015
Chile,Female,44961,2015
Chile,Male,41584,2015
Ecuador,Female,5042,2015
Ecuador,Male,5218,2015
Peru,Female,21363,2015
Peru,Male,20957,2015
Uruguay,Female,4636,2015
Uruguay,Male,4385,2015
Venezuela,Female,83810,2015
Venezuela,Male,80060,2015
Other South America,Female,2063,2015
Other South America,Male,1883,2015
Europe,Female,541156,2015
Europe,Male,558553,2015
Germany,Female,123531,2015
Germany,Male,124717,2015
Austria,Female,4234,2015
Austria,Male,4121,2015
Belgium,Female,18577,2015
Belgium,Male,18960,2015
Bulgaria,Female,273,2015
Bulgaria,Male,373,2015
Denmark,Female,1180,2015
Denmark,Male,1219,2015
Scotland,Female,190,2015
Scotland,Male,160,2015
Spain,Female,78743,2015
Spain,Male,90824,2015
Finland,Female,2107,2015
Finland,Male,2071,2015
France,Female,115609,2015
France,Male,105703,2015
Greece,Female,126,2015
Greece,Male,150,2015
Netherlands,Female,14901,2015
Netherlands,Male,14916,2015
Hungary,Female,645,2015
Hungary,Male,536,2015
United Kingdom,Female,68434,2015
United Kingdom,Male,71798,2015
Ireland,Female,392,2015
Ireland,Male,422,2015
Italy,Female,36538,2015
Italy,Male,45280,2015
Luxembourg,Female,285,2015
Luxembourg,Male,240,2015
Norway,Female,562,2015
Norway,Male,677,2015
Poland,Female,5853,2015
Poland,Male,5574,2015
Portugal,Female,11146,2015
Portugal,Male,12441,2015
Czech Republic,Female,2807,2015
Czech Republic,Male,2938,2015
Romania,Female,194,2015
Romania,Male,289,2015
Russia,Female,33273,2015
Russia,Male,33848,2015
Sweden,Female,6945,2015
Sweden,Male,6348,2015
Switzerland,Female,12062,2015
Switzerland,Male,12403,2015
Ukraine,Female,1847,2015
Ukraine,Male,1787,2015
Other Europe,Female,702,2015
Other Europe,Male,758,2015
Asia,Female,2907,2015
Asia,Male,5686,2015
South Korea,Female,350,2015
South Korea,Male,826,2015
China,Female,607,2015
China,Male,1073,2015
India,Female,152,2015
India,Male,549,2015
Israel,Female,397,2015
Israel,Male,766,2015
Japan,Female,501,2015
Japan,Male,776,2015
Taiwan,Female,315,2015
Taiwan,Male,589,2015
Other Asia,Female,585,2015
Other Asia,Male,1107,2015
Rest of the World,Female,1173,2015
Rest of the World,Male,1730,2015
Australia,Female,948,2015
Australia,Male,1263,2015
Other Rest of the World,Female,225,2015
Other Rest of the World,Male,467,2015
Resident Dominicans,Female,286977,2016
Resident Dominicans,Male,268718,2016
Resident Foreigners,Female,18993,2016
Resident Foreigners,Male,24947,2016
Non-Resident Dominicans,Female,439977,2016
Non-Resident Dominicans,Male,385260,2016
Non-Resident Foreigners,Female,2587547,2016
Non-Resident Foreigners,Male,2546563,2016
North America,Female,1490435,2016
North America,Male,1449570,2016
Canada,Female,392042,2016
Canada,Male,379801,2016
United States,Female,1083861,2016
United States,Male,1050293,2016
Mexico,Female,14532,2016
Mexico,Male,19476,2016
Central America and Caribbean,Female,117318,2016
Central America and Caribbean,Male,143042,2016
Aruba,Female,1080,2016
Aruba,Male,1246,2016
Turks and Caicos Islands,Female,600,2016
Turks and Caicos Islands,Male,1090,2016
Costa Rica,Female,6190,2016
Costa Rica,Male,7418,2016
Cuba,Female,10354,2016
Cuba,Male,12286,2016
Curacao,Female,2655,2016
Curacao,Male,3783,2016
El Salvador,Female,1340,2016
El Salvador,Male,1832,2016
Guadeloupe,Female,1775,2016
Guadeloupe,Male,2703,2016
Guatemala,Female,2520,2016
Guatemala,Male,4159,2016
Haiti,Female,1848,2016
Haiti,Male,6898,2016
Honduras,Female,1210,2016
Honduras,Male,1455,2016
Jamaica,Female,431,2016
Jamaica,Male,776,2016
Martinique,Female,431,2016
Martinique,Male,776,2016
Panama,Female,17101,2016
Panama,Male,18722,2016
Puerto Rico,Female,62520,2016
Puerto Rico,Male,70205,2016
Saint Martin,Female,1987,2016
Saint Martin,Male,2720,2016
Trinidad and Tobago,Female,2599,2016
Trinidad and Tobago,Male,2547,2016
U.S. Virgin Islands,Female,239,2016
U.S. Virgin Islands,Male,363,2016
Other Caribbean,Female,2104,2016
Other Caribbean,Male,3644,2016
South America,Female,363631,2016
South America,Male,338465,2016
Argentina,Female,70617,2016
Argentina,Male,65594,2016
Bolivia,Female,5546,2016
Bolivia,Male,5201,2016
Brazil,Female,64985,2016
Brazil,Male,59703,2016
Colombia,Female,48224,2016
Colombia,Male,47437,2016
Chile,Female,45354,2016
Chile,Male,38956,2016
Ecuador,Female,4466,2016
Ecuador,Male,4915,2016
Peru,Female,25620,2016
Peru,Male,22677,2016
Uruguay,Female,10520,2016
Uruguay,Male,9240,2016
Venezuela,Female,85018,2016
Venezuela,Male,81395,2016
Other South America,Female,3281,2016
Other South America,Male,3347,2016
Europe,Female,611851,2016
Europe,Male,608016,2016
Germany,Female,130639,2016
Germany,Male,128658,2016
Austria,Female,3976,2016
Austria,Male,3843,2016
Belgium,Female,21500,2016
Belgium,Male,20437,2016
Bulgaria,Female,340,2016
Bulgaria,Male,405,2016
Denmark,Female,1264,2016
Denmark,Male,1135,2016
Scotland,Female,80,2016
Scotland,Male,95,2016
Spain,Female,78092,2016
Spain,Male,86731,2016
Finland,Female,2464,2016
Finland,Male,2470,2016
France,Female,117503,2016
France,Male,105275,2016
Greece,Female,97,2016
Greece,Male,269,2016
Netherlands,Female,16466,2016
Netherlands,Male,17575,2016
Hungary,Female,750,2016
Hungary,Male,741,2016
United Kingdom,Female,81784,2016
United Kingdom,Male,81937,2016
Ireland,Female,325,2016
Ireland,Male,365,2016
Italy,Female,35328,2016
Italy,Male,41319,2016
Luxembourg,Female,281,2016
Luxembourg,Male,355,2016
Norway,Female,502,2016
Norway,Male,623,2016
Poland,Female,11360,2016
Poland,Male,12368,2016
Portugal,Female,12211,2016
Portugal,Male,11645,2016
Czech Republic,Female,2613,2016
Czech Republic,Male,2663,2016
Romania,Female,209,2016
Romania,Male,209,2016
Russia,Female,68825,2016
Russia,Male,63338,2016
Sweden,Female,8451,2016
Sweden,Male,8109,2016
Switzerland,Female,14173,2016
Switzerland,Male,15000,2016
Ukraine,Female,1694,2016
Ukraine,Male,1490,2016
Other Europe,Female,924,2016
Other Europe,Male,961,2016
Asia,Female,3140,2016
Asia,Male,6133,2016
South Korea,Female,564,2016
South Korea,Male,1003,2016
China,Female,564,2016
China,Male,1003,2016
India,Female,246,2016
India,Male,606,2016
Israel,Female,466,2016
Israel,Male,760,2016
Japan,Female,565,2016
Japan,Male,945,2016
Taiwan,Female,195,2016
Taiwan,Male,370,2016
Other Asia,Female,649,2016
Other Asia,Male,1210,2016
Rest of the World,Female,1172,2016
Rest of the World,Male,1337,2016
Australia,Female,834,2016
Australia,Male,858,2016
Other Rest of the World,Female,338,2016
Other Rest of the World,Male,479,2016
Resident Dominicans,Female,344679,2017
Resident Dominicans,Male,259518,2017
Resident Foreigners,Female,19373,2017
Resident Foreigners,Male,20771,2017
Non-Resident Dominicans,Female,473617,2017
Non-Resident Dominicans,Male,359908,2017
Non-Resident Foreigners,Female,2823246,2017
Non-Resident Foreigners,Male,2530771,2017
North America,Female,1596932,2017
North America,Male,1420330,2017
Canada,Female,434534,2017
Canada,Male,402570,2017
United States,Female,1145607,2017
United States,Male,1000841,2017
Mexico,Female,16791,2017
Mexico,Male,16919,2017
Central America and Caribbean,Female,125138,2017
Central America and Caribbean,Male,122716,2017
Aruba,Female,1095,2017
Aruba,Male,855,2017
Turks and Caicos Islands,Female,715,2017
Turks and Caicos Islands,Male,1018,2017
Costa Rica,Female,6513,2017
Costa Rica,Male,6099,2017
Cuba,Female,15384,2017
Cuba,Male,12920,2017
Curacao,Female,2982,2017
Curacao,Male,2648,2017
El Salvador,Female,1775,2017
El Salvador,Male,1840,2017
Guadeloupe,Female,1795,2017
Guadeloupe,Male,2245,2017
Guatemala,Female,3694,2017
Guatemala,Male,4184,2017
Haiti,Female,2626,2017
Haiti,Male,7461,2017
Honduras,Female,1523,2017
Honduras,Male,1353,2017
Jamaica,Female,1116,2017
Jamaica,Male,1087,2017
Martinique,Female,1023,2017
Martinique,Male,1319,2017
Panama,Female,15660,2017
Panama,Male,15495,2017
Puerto Rico,Female,61080,2017
Puerto Rico,Male,55766,2017
Saint Martin,Female,2158,2017
Saint Martin,Male,2086,2017
Trinidad and Tobago,Female,2405,2017
Trinidad and Tobago,Male,2050,2017
U.S. Virgin Islands,Female,150,2017
U.S. Virgin Islands,Male,385,2017
Other Caribbean,Female,3444,2017
Other Caribbean,Male,3905,2017
South America,Female,371412,2017
South America,Male,312808,2017
Argentina,Female,94448,2017
Argentina,Male,85838,2017
Bolivia,Female,5707,2017
Bolivia,Male,4955,2017
Brazil,Female,50966,2017
Brazil,Male,42519,2017
Colombia,Female,55604,2017
Colombia,Male,45534,2017
Chile,Female,53489,2017
Chile,Male,44291,2017
Ecuador,Female,6059,2017
Ecuador,Male,5030,2017
Peru,Female,27441,2017
Peru,Male,23578,2017
Uruguay,Female,14370,2017
Uruguay,Male,11580,2017
Venezuela,Female,59540,2017
Venezuela,Male,45901,2017
Other South America,Female,3788,2017
Other South America,Male,3582,2017
Europe,Female,721346,2017
Europe,Male,665120,2017
Germany,Female,136148,2017
Germany,Male,129250,2017
Austria,Female,5015,2017
Austria,Male,5445,2017
Belgium,Female,20196,2017
Belgium,Male,17317,2017
Bulgaria,Female,1089,2017
Bulgaria,Male,930,2017
Denmark,Female,1171,2017
Denmark,Male,1375,2017
Scotland,Female,299,2017
Scotland,Male,290,2017
Spain,Female,88308,2017
Spain,Male,84757,2017
Finland,Female,2765,2017
Finland,Male,2270,2017
France,Female,115482,2017
France,Male,97765,2017
Greece,Female,276,2017
Greece,Male,340,2017
Netherlands,Female,17108,2017
Netherlands,Male,15462,2017
Hungary,Female,1926,2017
Hungary,Male,2033,2017
United Kingdom,Female,92646,2017
United Kingdom,Male,83294,2017
Ireland,Female,395,2017
Ireland,Male,400,2017
Italy,Female,38750,2017
Italy,Male,39997,2017
Luxembourg,Female,325,2017
Luxembourg,Male,290,2017
Norway,Female,814,2017
Norway,Male,810,2017
Poland,Female,15884,2017
Poland,Male,16336,2017
Portugal,Female,16172,2017
Portugal,Male,15185,2017
Czech Republic,Female,2627,2017
Czech Republic,Male,2251,2017
Romania,Female,1843,2017
Romania,Male,1731,2017
Russia,Female,125823,2017
Russia,Male,114225,2017
Sweden,Female,9858,2017
Sweden,Male,9163,2017
Switzerland,Female,17318,2017
Switzerland,Male,15755,2017
Ukraine,Female,6801,2017
Ukraine,Male,6434,2017
Other Europe,Female,2307,2017
Other Europe,Male,2015,2017
Asia,Female,6567,2017
Asia,Male,8048,2017
South Korea,Female,1347,2017
South Korea,Male,1435,2017
China,Female,686,2017
China,Male,962,2017
India,Female,600,2017
India,Male,813,2017
Israel,Female,850,2017
Israel,Male,1256,2017
Japan,Female,675,2017
Japan,Male,841,2017
Taiwan,Female,330,2017
Taiwan,Male,350,2017
Other Asia,Female,2079,2017
Other Asia,Male,2391,2017
Rest of the World,Female,1851,2017
Rest of the World,Male,1749,2017
Australia,Female,1134,2017
Australia,Male,1193,2017
Other Rest of the World,Female,717,2017
Other Rest of the World,Male,556,2017
Resident Dominicans,Female,361571,2018
Resident Dominicans,Male,247536,2018
Resident Foreigners,Female,22530,2018
Resident Foreigners,Male,19809,2018
Non-Resident Dominicans,Female,552880,2018
Non-Resident Dominicans,Male,397447,2018
Non-Resident Foreigners,Female,2956718,2018
Non-Resident Foreigners,Male,2661843,2018
North America,Female,1727469,2018
North America,Male,1552423,2018
Canada,Female,467123,2018
Canada,Male,437337,2018
United States,Female,1238916,2018
United States,Male,1096071,2018
Mexico,Female,21430,2018
Mexico,Male,19015,2018
Central America and Caribbean,Female,115457,2018
Central America and Caribbean,Male,108643,2018
Aruba,Female,941,2018
Aruba,Male,740,2018
Turks and Caicos Islands,Female,961,2018
Turks and Caicos Islands,Male,1483,2018
Costa Rica,Female,6418,2018
Costa Rica,Male,5585,2018
Cuba,Female,12268,2018
Cuba,Male,8958,2018
Curacao,Female,1793,2018
Curacao,Male,1458,2018
El Salvador,Female,2453,2018
El Salvador,Male,2283,2018
Guadeloupe,Female,1546,2018
Guadeloupe,Male,1922,2018
Guatemala,Female,4267,2018
Guatemala,Male,4084,2018
Haiti,Female,3078,2018
Haiti,Male,9328,2018
Honduras,Female,1920,2018
Honduras,Male,1710,2018
Jamaica,Female,1339,2018
Jamaica,Male,1052,2018
Martinique,Female,798,2018
Martinique,Male,980,2018
Panama,Female,11768,2018
Panama,Male,11027,2018
Puerto Rico,Female,58309,2018
Puerto Rico,Male,50334,2018
Saint Martin,Female,1947,2018
Saint Martin,Male,1739,2018
Trinidad and Tobago,Female,1533,2018
Trinidad and Tobago,Male,1291,2018
U.S. Virgin Islands,Female,248,2018
U.S. Virgin Islands,Male,459,2018
Other Caribbean,Female,3870,2018
Other Caribbean,Male,4210,2018
South America,Female,410896,2018
South America,Male,351434,2018
Argentina,Female,410896,2018
Argentina,Male,351434,2018
Bolivia,Female,7072,2018
Bolivia,Male,6013,2018
Brazil,Female,67105,2018
Brazil,Male,62899,2018
Colombia,Female,58149,2018
Colombia,Male,47735,2018
Chile,Female,61850,2018
Chile,Male,52568,2018
Ecuador,Female,5924,2018
Ecuador,Male,5419,2018
Peru,Female,19652,2018
Peru,Male,17410,2018
Uruguay,Female,15269,2018
Uruguay,Male,12167,2018
Venezuela,Female,55900,2018
Venezuela,Male,39350,2018
Other South America,Female,4641,2018
Other South America,Male,4180,2018
Europe,Female,692812,2018
Europe,Male,639081,2018
Germany,Female,107380,2018
Germany,Male,109148,2018
Austria,Female,5746,2018
Austria,Male,5821,2018
Belgium,Female,18563,2018
Belgium,Male,16320,2018
Bulgaria,Female,1177,2018
Bulgaria,Male,1029,2018
Denmark,Female,2113,2018
Denmark,Male,2083,2018
Scotland,Female,245,2018
Scotland,Male,237,2018
Spain,Female,82037,2018
Spain,Male,77173,2018
Finland,Female,2019,2018
Finland,Male,2195,2018
France,Female,119227,2018
France,Male,101831,2018
Greece,Female,293,2018
Greece,Male,306,2018
Netherlands,Female,14255,2018
Netherlands,Male,12967,2018
Hungary,Female,2210,2018
Hungary,Male,2136,2018
United Kingdom,Female,95959,2018
United Kingdom,Male,89970,2018
Ireland,Female,544,2018
Ireland,Male,403,2018
Italy,Female,39798,2018
Italy,Male,36636,2018
Luxembourg,Female,546,2018
Luxembourg,Male,529,2018
Norway,Female,800,2018
Norway,Male,1016,2018
Poland,Female,18996,2018
Poland,Male,17211,2018
Portugal,Female,21493,2018
Portugal,Male,19052,2018
Czech Republic,Female,4116,2018
Czech Republic,Male,3571,2018
Romania,Female,2760,2018
Romania,Male,2488,2018
Russia,Female,116327,2018
Russia,Male,102614,2018
Sweden,Female,5699,2018
Sweden,Male,6162,2018
Switzerland,Female,19375,2018
Switzerland,Male,17798,2018
Ukraine,Female,8084,2018
Ukraine,Male,7305,2018
Other Europe,Female,3050,2018
Other Europe,Male,3080,2018
Asia,Female,8418,2018
Asia,Male,8794,2018
South Korea,Female,768,2018
South Korea,Male,751,2018
China,Female,1912,2018
China,Male,1947,2018
India,Female,803,2018
India,Male,799,2018
Israel,Female,1127,2018
Israel,Male,1304,2018
Japan,Female,797,2018
Japan,Male,905,2018
Taiwan,Female,210,2018
Taiwan,Male,192,2018
Other Asia,Female,2801,2018
Other Asia,Male,2896,2018
Rest of the World,Female,1666,2018
Rest of the World,Male,1468,2018
Australia,Female,605,2018
Australia,Male,634,2018
Other Rest of the World,Female,1061,2018
Other Rest of the World,Male,834,2018
Resident Dominicans,Female,395859,2019
Resident Dominicans,Male,240308,2019
Resident Foreigners,Female,23520,2019
Resident Foreigners,Male,21134,2019
Non-Resident Dominicans,Female,654891,2019
Non-Resident Dominicans,Male,433526,2019
Non-Resident Foreigners,Female,2900436,2019
Non-Resident Foreigners,Male,2457183,2019
North America,Female,1689136,2019
North America,Male,1439012,2019
Canada,Female,465344,2019
Canada,Male,426632,2019
United States,Female,1196397,2019
United States,Male,990325,2019
Mexico,Female,27395,2019
Mexico,Male,22055,2019
Central America and Caribbean,Female,121851,2019
Central America and Caribbean,Male,106694,2019
Aruba,Female,670,2019
Aruba,Male,458,2019
Turks and Caicos Islands,Female,968,2019
Turks and Caicos Islands,Male,1462,2019
Costa Rica,Female,7241,2019
Costa Rica,Male,5397,2019
Cuba,Female,12541,2019
Cuba,Male,6848,2019
Curacao,Female,976,2019
Curacao,Male,656,2019
El Salvador,Female,2380,2019
El Salvador,Male,1746,2019
Guadeloupe,Female,1828,2019
Guadeloupe,Male,2049,2019
Guatemala,Female,4836,2019
Guatemala,Male,4202,2019
Haiti,Female,4550,2019
Haiti,Male,12984,2019
Honduras,Female,2020,2019
Honduras,Male,1412,2019
Jamaica,Female,1615,2019
Jamaica,Male,1006,2019
Martinique,Female,852,2019
Martinique,Male,977,2019
Panama,Female,10644,2019
Panama,Male,9560,2019
Puerto Rico,Female,63453,2019
Puerto Rico,Male,50615,2019
Saint Martin,Female,1289,2019
Saint Martin,Male,1019,2019
Trinidad and Tobago,Female,2084,2019
Trinidad and Tobago,Male,1537,2019
U.S. Virgin Islands,Female,169,2019
U.S. Virgin Islands,Male,298,2019
Other Caribbean,Female,3735,2019
Other Caribbean,Male,4468,2019
South America,Female,402271,2019
South America,Male,312108,2019
Argentina,Female,101550,2019
Argentina,Male,84869,2019
Bolivia,Female,7499,2019
Bolivia,Male,6711,2019
Brazil,Female,58293,2019
Brazil,Male,48809,2019
Colombia,Female,60187,2019
Colombia,Male,46179,2019
Chile,Female,63904,2019
Chile,Male,50588,2019
Ecuador,Female,6566,2019
Ecuador,Male,5247,2019
Peru,Female,21286,2019
Peru,Male,17992,2019
Uruguay,Female,14158,2019
Uruguay,Male,10810,2019
Venezuela,Female,64437,2019
Venezuela,Male,37354,2019
Other South America,Female,4391,2019
Other South America,Male,3549,2019
Europe,Female,676482,2019
Europe,Male,588795,2019
Germany,Female,91349,2019
Germany,Male,87559,2019
Austria,Female,6035,2019
Austria,Male,5504,2019
Belgium,Female,17763,2019
Belgium,Male,15134,2019
Bulgaria,Female,1369,2019
Bulgaria,Male,1224,2019
Denmark,Female,2280,2019
Denmark,Male,2153,2019
Scotland,Female,489,2019
Scotland,Male,417,2019
Spain,Female,88756,2019
Spain,Male,76961,2019
Finland,Female,2395,2019
Finland,Male,2280,2019
France,Female,117314,2019
France,Male,93874,2019
Greece,Female,400,2019
Greece,Male,388,2019
Netherlands,Female,17486,2019
Netherlands,Male,16311,2019
Hungary,Female,3022,2019
Hungary,Male,2548,2019
United Kingdom,Female,84752,2019
United Kingdom,Male,71827,2019
Ireland,Female,666,2019
Ireland,Male,758,2019
Italy,Female,45559,2019
Italy,Male,38366,2019
Luxembourg,Female,563,2019
Luxembourg,Male,519,2019
Norway,Female,756,2019
Norway,Male,674,2019
Poland,Female,17380,2019
Poland,Male,16268,2019
Portugal,Female,19269,2019
Portugal,Male,16497,2019
Czech Republic,Female,4040,2019
Czech Republic,Male,3609,2019
Romania,Female,4017,2019
Romania,Male,3743,2019
Russia,Female,112133,2019
Russia,Male,96826,2019
Sweden,Female,4792,2019
Sweden,Male,4740,2019
Switzerland,Female,18051,2019
Switzerland,Male,15937,2019
Ukraine,Female,12088,2019
Ukraine,Male,11175,2019
Other Europe,Female,3758,2019
Other Europe,Male,3503,2019
Asia,Female,8996,2019
Asia,Male,8959,2019
South Korea,Female,709,2019
South Korea,Male,662,2019
China,Female,2955,2019
China,Male,2676,2019
India,Female,777,2019
India,Male,876,2019
Israel,Female,1364,2019
Israel,Male,1286,2019
Japan,Female,787,2019
Japan,Male,780,2019
Taiwan,Female,181,2019
Taiwan,Male,153,2019
Other Asia,Female,2223,2019
Other Asia,Male,2526,2019
Rest of the World,Female,1700,2019
Rest of the World,Male,1615,2019
Australia,Female,816,2019
Australia,Male,879,2019
Other Rest of the World,Female,884,2019
Other Rest of the World,Male,736,2019
Resident Dominicans,Female,161701,2020
Resident Dominicans,Male,123214,2020
Resident Foreigners,Female,8416,2020
Resident Foreigners,Male,8782,2020
Non-Resident Dominicans,Female,386010,2020
Non-Resident Dominicans,Male,320106,2020
Non-Resident Foreigners,Female,881509,2020
Non-Resident Foreigners,Male,817685,2020
North America,Female,562126,2020
North America,Male,519284,2020
Canada,Female,187144,2020
Canada,Male,170808,2020
United States,Female,368533,2020
United States,Male,341239,2020
Mexico,Female,6449,2020
Mexico,Male,7237,2020
Central America and Caribbean,Female,26258,2020
Central America and Caribbean,Male,36815,2020
Aruba,Female,61,2020
Aruba,Male,118,2020
